architecture,model,dataset,chunk_size_kb,burst_length_s,result_ms,chunk_size_tokens,burst_enabled,burst_interval_s,chunks_produced,chunks_processed,chunks_persisted,total_duration_ms,throughput_chunks_per_s,throughput_tokens_per_s,success_rate,status,error_message
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,10.0,1,637.6430843815659,2560,True,2,33,33,33,21042.221784591675,1.5682754576878615,1288.7897617283975,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,10.0,5,560.7860660552979,2560,True,2,100,100,100,56078.606605529785,1.78321121106706,1209.766149812115,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,10.0,10,535.8378434181213,2560,True,2,100,100,100,53583.784341812134,1.866236235986951,1266.0919872182674,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,10.0,15,535.8120155334473,2560,True,2,100,100,100,53581.20155334473,1.8663261946532002,1266.153016976624,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,10.0,30,535.7888627052307,2560,True,2,100,100,100,53578.88627052307,1.8664068434549739,1266.2077307367233,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,10.0,45,535.7863974571228,2560,True,2,100,100,100,53578.63974571228,1.8664154311234202,1266.2135567827506,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,10.0,60,540.7418990135193,2560,True,2,100,100,100,54074.18990135193,1.8493111072478565,1254.6096413790908,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,20.0,,536.3618588447571,5120,False,,100,100,100,53636.18588447571,1.8644129583595856,1280.7211934859502,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,20.0,1,580.0867582622327,5120,True,2,57,57,57,33064.945220947266,1.723880067519042,1364.9500913556037,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,20.0,5,535.7546734809875,5120,True,2,100,100,100,53575.467348098755,1.8665259483461831,1282.1726696974436,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,20.0,10,540.7934498786926,5120,True,2,100,100,100,54079.34498786926,1.8491348225913493,1270.2261836826756,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,20.0,15,535.8423972129822,5120,True,2,100,100,100,53584.23972129822,1.8662203759933693,1281.9627628811252,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,20.0,30,535.8198261260986,5120,True,2,100,100,100,53581.98261260986,1.8662989894007063,1282.016764789027,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,20.0,45,535.8046221733093,5120,True,2,100,100,100,53580.46221733093,1.8663519473643955,1282.053143203024,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,20.0,60,535.8573174476624,5120,True,2,100,100,100,53585.731744766235,1.866168413567798,1281.9270683321274,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,40.0,,536.3555192947388,10240,False,,100,100,100,53635.55192947388,1.8644349951221042,1283.3651845423492,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,40.0,1,588.8047887567889,10240,True,2,57,57,57,33561.87295913696,1.6983557523562518,1358.4164404504188,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,40.0,5,535.7331538200378,10240,True,2,100,100,100,53573.315382003784,1.8666009241158845,1284.856080105928,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,40.0,10,535.7619261741638,10240,True,2,100,100,100,53576.19261741638,1.8665006808918392,1284.7870786850885,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,40.0,15,536.0488796234131,10240,True,2,100,100,100,53604.88796234131,1.8655015205003758,1284.0993166212286,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,40.0,30,540.7628011703491,10240,True,2,100,100,100,54076.28011703491,1.849239625646853,1272.905603917755,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,40.0,45,535.8030605316162,10240,True,2,100,100,100,53580.30605316162,1.866357386999272,1284.688443767079,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,40.0,60,536.0277009010315,10240,True,2,100,100,100,53602.77009010315,1.8655752273978714,1284.1500520270508,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,80.0,,536.3182020187378,20480,False,,100,100,100,53631.82020187378,1.8645647233972904,1283.4544817032909,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,80.0,1,588.8726962240119,20480,True,2,57,57,57,33565.74368476868,1.6981599018127884,1358.2597909394183,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,80.0,5,535.768711566925,20480,True,2,100,100,100,53576.871156692505,1.8664770420716998,1284.770807139634,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,80.0,10,535.7991695404053,20480,True,2,100,100,100,53579.91695404053,1.8663709405480682,1284.6977732168573,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,80.0,15,536.7533564567566,20480,True,2,100,100,100,53675.33564567566,1.8630530912768772,1282.4139648495257,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,80.0,30,535.7099652290344,20480,True,2,100,100,100,53570.99652290344,1.866681721278912,1284.9116960251263,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,80.0,45,535.7779121398926,20480,True,2,100,100,100,53577.79121398926,1.8664449902498,1284.7487445885474,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,cc_news,80.0,60,535.8301687240601,20480,True,2,100,100,100,53583.016872406006,1.866262966083525,1284.6234500739336,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,0.5,,538.3280754089355,128,False,,100,100,100,53832.807540893555,1.857603282608584,220.94333443346497,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,0.5,1,555.8475023362695,128,True,2,82,82,82,45579.4951915741,1.799054589247813,212.57365750270804,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,0.5,5,517.9486155509949,128,True,2,100,100,100,51794.86155509949,1.9306934510022733,229.6366790622104,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,0.5,10,537.9052829742432,128,True,2,100,100,100,53790.52829742432,1.859063354928759,221.1169954352266,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,0.5,15,532.7886939048767,128,True,2,100,100,100,53278.86939048767,1.8769167053280948,223.2404729317236,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,0.5,30,537.8598117828369,128,True,2,100,100,100,53785.98117828369,1.8592205219522036,221.13568888099508,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,0.5,45,537.797646522522,128,True,2,100,100,100,53779.7646522522,1.8594354335057914,221.16125046117884,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,0.5,60,537.8789448738098,128,True,2,100,100,100,53787.89448738098,1.8591543869310725,221.12782278158176,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,1.0,,533.387131690979,256,False,,100,100,100,53338.7131690979,1.8748108842253732,356.2140680028209,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,1.0,1,555.8952238501572,256,True,2,82,82,82,45583.40835571289,1.7989001471787285,341.72521454393967,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,1.0,5,517.852029800415,256,True,2,100,100,100,51785.202980041504,1.9310535489943126,366.9001743089194,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,1.0,10,537.8628253936768,256,True,2,100,100,100,53786.282539367676,1.8592101048591194,353.2499199232327,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,1.0,15,537.9649519920349,256,True,2,100,100,100,53796.49519920349,1.8588571547218673,353.1828593971548,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,1.0,30,532.8357458114624,256,True,2,100,100,100,53283.57458114624,1.8767509647407141,356.5826833007357,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,1.0,45,537.9778552055359,256,True,2,100,100,100,53797.78552055359,1.8588125706734664,353.1743884279586,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,1.0,60,537.9988884925842,256,True,2,100,100,100,53799.88884925842,1.8587398996341682,353.16058093049196,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,2.0,,538.4022903442383,512,False,,100,100,100,53840.22903442383,1.8573472251773484,403.9358745315697,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,2.0,1,555.9094940743795,512,True,2,82,82,82,45584.57851409912,1.798853969322931,386.7097289173735,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,2.0,5,512.9838109016418,512,True,2,100,100,100,51298.381090164185,1.9493792567105737,423.9510007494155,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,2.0,10,537.9228472709656,512,True,2,100,100,100,53792.28472709656,1.8590026526541534,404.2958968992253,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,2.0,15,537.953736782074,512,True,2,100,100,100,53795.3736782074,1.8588959080046354,404.2726820728481,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,2.0,30,537.9076862335205,512,True,2,100,100,100,53790.76862335205,1.8590550490216875,404.30729206123664,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,2.0,45,532.98588514328,512,True,2,100,100,100,53298.588514328,1.8762222938252386,408.0408244611129,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,2.0,60,537.9826831817627,512,True,2,100,100,100,53798.26831817627,1.8587958892761243,404.25092999977153,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,5.0,,538.474748134613,1280,False,,100,100,100,53847.474813461304,1.8570972983676675,403.8815204490003,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,5.0,1,555.8832767533092,1280,True,2,82,82,82,45582.42869377136,1.7989388093137069,386.72796744612225,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,5.0,5,512.8817081451416,1280,True,2,100,100,100,51288.17081451416,1.9497673325425122,424.03539948134556,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,5.0,10,537.975001335144,1280,True,2,100,100,100,53797.500133514404,1.8588224313735848,404.25670237512725,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,5.0,15,538.0111980438232,1280,True,2,100,100,100,53801.119804382324,1.8586973721661195,404.2295044986877,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,5.0,30,538.0067372322083,1280,True,2,100,100,100,53800.673723220825,1.8587127833092387,404.23285611409324,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,5.0,45,537.9519772529602,1280,True,2,100,100,100,53795.19772529602,1.8589019880668116,404.27400436477024,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,5.0,60,532.9021453857422,1280,True,2,100,100,100,53290.21453857422,1.8765171216868497,408.10494362445604,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,10.0,,538.4026408195496,2560,False,,100,100,100,53840.264081954956,1.8573460161298854,403.9356115879275,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,10.0,1,555.9668657256336,2560,True,2,82,82,82,45589.28298950195,1.7986683409537831,386.6698233455279,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,10.0,5,517.8667235374451,2560,True,2,100,100,100,51786.67235374451,1.9309987580765915,419.95360990649715,1.0,success,
architecture3,Qwen/Qwen2.5-1.5B-Instruct,arxiv,10.0,10,537.8709673881531,2560,True,2,100,100,100,53787.09673881531,1.8591819611604967,404.33489291318483,1.0,success,
