architecture,model,dataset,chunk_size_kb,burst_length_s,result_ms,chunk_size_tokens,burst_enabled,burst_interval_s,chunks_produced,chunks_processed,chunks_persisted,total_duration_ms,throughput_chunks_per_s,throughput_tokens_per_s,success_rate,status,error_message
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,5.0,15,538.3311629295349,1280,True,2,100,100,100,53833.11629295349,1.857592628593369,1151.4473667598857,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,5.0,30,535.5932068824768,1280,True,2,100,100,100,53559.32068824768,1.867088654504586,1157.3335733812128,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,5.0,45,535.8194518089294,1280,True,2,100,100,100,53581.945180892944,1.8663002931752375,1156.8448997276028,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,5.0,60,535.7042384147644,1280,True,2,100,100,100,53570.42384147644,1.8667016765802749,1157.0937012450493,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,10.0,,541.1857724189758,2560,False,,100,100,100,54118.57724189758,1.8477943267618255,1253.5806271617578,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,10.0,1,590.1189063276563,2560,True,2,56,56,56,33046.658754348755,1.6945737363729916,1284.5776729066047,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,10.0,5,535.9376835823059,2560,True,2,100,100,100,53593.76835823059,1.865888573678597,1265.8561261550337,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,10.0,10,541.6080498695374,2560,True,2,100,100,100,54160.804986953735,1.8463536504689695,1252.6032435511584,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,10.0,15,533.4681153297424,2560,True,2,100,100,100,53346.81153297424,1.8745262767614315,1271.7161166804904,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,10.0,30,536.0016942024231,2560,True,2,100,100,100,53600.16942024231,1.8656657447473406,1265.7049545514908,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,10.0,45,540.8021378517151,2560,True,2,100,100,100,54080.21378517151,1.849105116285976,1254.4698929907318,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,10.0,60,535.8361077308655,2560,True,2,100,100,100,53583.61077308655,1.8662422811235226,1266.0960883598202,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,20.0,,535.8491230010986,5120,False,,100,100,100,53584.91230010986,1.8661969518571924,1281.9466721392612,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,20.0,1,637.5130740079013,5120,True,2,33,33,33,21037.931442260742,1.5685952818398294,1418.6280662578702,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,20.0,5,560.7987999916077,5120,True,2,100,100,100,56079.87999916077,1.7831707200781546,1224.9134627432868,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,20.0,10,535.8181691169739,5120,True,2,100,100,100,53581.81691169739,1.8663047609005046,1282.0207294053835,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,20.0,15,535.7265281677246,5120,True,2,100,100,100,53572.65281677246,1.8666240094926216,1282.2400308407666,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,20.0,30,538.4357452392578,5120,True,2,100,100,100,53843.57452392578,1.8572318217016643,1275.7882552815242,1.0,success,
architecture3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cc_news,20.0,45,535.722439289093,5120,True,2,100,100,100,53572.2439289093,1.8666382564206312,1282.2498174830241,1.0,success,
